id,time_d_matrix,time_clust,time_total,N3_easycategs_ml_1,N3_easycategs_ml_100,N3_random_ml_1,N3_random_ml_100,N3_1,N3_100,N2,CI,CI_categs_constr,cluster,categs_constr_count,elem_qtt
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-3nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,28.48482609,33.62249517,171.631264,0.01676774884,0.03739029611,0.7664626229,0.7805193842,0.01296355755,0.06315941564,0.3650529726,0.9465964304,0.6743052535,2,18,2521
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-3nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,28.48482609,33.62249517,171.631264,0.01676774884,0.03739029611,0.7664626229,0.7805193842,0.01296355755,0.06315941564,0.3650529726,0.9465964304,0.6743052535,3,705,4569
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-3nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,28.48482609,33.62249517,171.631264,0.01676774884,0.03739029611,0.7664626229,0.7805193842,0.01296355755,0.06315941564,0.3650529726,0.9465964304,0.6743052535,4,1643,7701
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-5nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,31.09611702,49.79300404,188.8873138,0.009989297182,0.02716910453,0.7889074383,0.783344463,0.00593995826,0.0275421416,0.2952629502,0.9647129872,0.6089576412,0,29,3766
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-5nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,31.09611702,49.79300404,188.8873138,0.009989297182,0.02716910453,0.7889074383,0.783344463,0.00593995826,0.0275421416,0.2952629502,0.9647129872,0.6089576412,1,31,3997
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-5nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,31.09611702,49.79300404,188.8873138,0.009989297182,0.02716910453,0.7889074383,0.783344463,0.00593995826,0.0275421416,0.2952629502,0.9647129872,0.6089576412,2,669,5937
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-5nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,31.09611702,49.79300404,188.8873138,0.009989297182,0.02716910453,0.7889074383,0.783344463,0.00593995826,0.0275421416,0.2952629502,0.9647129872,0.6089576412,3,3287,3291
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-5nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,31.09611702,49.79300404,188.8873138,0.009989297182,0.02716910453,0.7889074383,0.783344463,0.00593995826,0.0275421416,0.2952629502,0.9647129872,0.6089576412,4,1590,7925
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-3nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,29.36310101,31.30046201,168.5019739,0.004994648591,0.02915447735,0.7811166759,0.782886292,0.005337935463,0.02811085246,0.2998749451,0.9033902529,0.5949449297,0,15,2656
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-3nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,29.36310101,31.30046201,168.5019739,0.004994648591,0.02915447735,0.7811166759,0.782886292,0.005337935463,0.02811085246,0.2998749451,0.9033902529,0.5949449297,1,3,2340
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-3nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,29.36310101,31.30046201,168.5019739,0.004994648591,0.02915447735,0.7811166759,0.782886292,0.005337935463,0.02811085246,0.2998749451,0.9033902529,0.5949449297,2,742,9468
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-3nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,29.36310101,31.30046201,168.5019739,0.004994648591,0.02915447735,0.7811166759,0.782886292,0.005337935463,0.02811085246,0.2998749451,0.9033902529,0.5949449297,3,3279,3283
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-3nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,29.36310101,31.30046201,168.5019739,0.004994648591,0.02915447735,0.7811166759,0.782886292,0.005337935463,0.02811085246,0.2998749451,0.9033902529,0.5949449297,4,1567,7169
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-categconstr_expnode2categs_edge_qtt_traces,30.88091993,31.231004,170.3032949,0.02211915804,0.1066161256,0.7820441477,0.7831088852,0.0193449992,0.1748964521,0.356593007,0.8197002831,0.8769570433,0,1235,6756
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-categconstr_expnode2categs_edge_qtt_traces,30.88091993,31.231004,170.3032949,0.02211915804,0.1066161256,0.7820441477,0.7831088852,0.0193449992,0.1748964521,0.356593007,0.8197002831,0.8769570433,1,970,9159
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-categconstr_expnode2categs_edge_qtt_traces,30.88091993,31.231004,170.3032949,0.02211915804,0.1066161256,0.7820441477,0.7831088852,0.0193449992,0.1748964521,0.356593007,0.8197002831,0.8769570433,2,114,632
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-categconstr_expnode2categs_edge_qtt_traces,30.88091993,31.231004,170.3032949,0.02211915804,0.1066161256,0.7820441477,0.7831088852,0.0193449992,0.1748964521,0.356593007,0.8197002831,0.8769570433,3,1176,1197
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-categconstr_expnode2categs_edge_qtt_traces,30.88091993,31.231004,170.3032949,0.02211915804,0.1066161256,0.7820441477,0.7831088852,0.0193449992,0.1748964521,0.356593007,0.8197002831,0.8769570433,4,2111,7172
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-5nn_variants_edge_qtt_traces_1overdist,30.29398012,30.35076976,168.1276982,0.01105957902,0.02966464502,0.7703580041,0.7804748655,0.005056991491,0.02328584042,0.2960423956,0.9284054857,0.4616927522,0,3281,3285
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-5nn_variants_edge_qtt_traces_1overdist,30.29398012,30.35076976,168.1276982,0.01105957902,0.02966464502,0.7703580041,0.7804748655,0.005056991491,0.02328584042,0.2960423956,0.9284054857,0.4616927522,1,15,3657
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-5nn_variants_edge_qtt_traces_1overdist,30.29398012,30.35076976,168.1276982,0.01105957902,0.02966464502,0.7703580041,0.7804748655,0.005056991491,0.02328584042,0.2960423956,0.9284054857,0.4616927522,2,2261,10003
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-5nn_variants_edge_qtt_traces_1overdist,30.29398012,30.35076976,168.1276982,0.01105957902,0.02966464502,0.7703580041,0.7804748655,0.005056991491,0.02328584042,0.2960423956,0.9284054857,0.4616927522,3,23,3137
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-5nn_variants_edge_qtt_traces_1overdist,30.29398012,30.35076976,168.1276982,0.01105957902,0.02966464502,0.7703580041,0.7804748655,0.005056991491,0.02328584042,0.2960423956,0.9284054857,0.4616927522,4,26,4834
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_categ_variant_edge1,31.18709087,34.26040816,172.423346,0.00445950767,0.08197288619,0.7761083287,0.7830124281,0.01216086049,0.1657477123,0.3078880972,0.9563463298,0.8839203239,0,375,4529
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_categ_variant_edge1,31.18709087,34.26040816,172.423346,0.00445950767,0.08197288619,0.7761083287,0.7830124281,0.01216086049,0.1657477123,0.3078880972,0.9563463298,0.8839203239,1,427,4310
